iteration,replicate,time,population,g1,g2,g3,g4,mating,kid-father-cor,kid-mother-cor,init_pop,fertility_type,heritability_type,mating_type,random_mating,leakage,fertility_factor
1.0,1,100.0,2960,0.0358108108108108,0.166554054054054,0.4861486486486486,0.3114864864864864,0.999143738435086,0.8091633886365857,0.809016056330533,1000,additive,preston,defined,0.000732421875,0.188232421875,0.2202392578125
2.0,1,100.0,3091,0.0718214170171465,0.2076997735360724,0.3859592364930443,0.3345195729537366,0.0864296824189736,0.4758603588380854,0.4362180384469774,1000,additive,preston,defined,0.746826171875,0.188232421875,0.2202392578125
3.0,1,100.0,2070,0.0458937198067632,0.2144927536231884,0.3922705314009662,0.3473429951690821,0.9991939977143408,0.842437922517653,0.8425119202420632,1000,additive,preston,defined,0.000732421875,0.191748046875,0.2202392578125
4.0,1,100.0,2756,0.0217706821480406,0.1865021770682148,0.5029027576197388,0.2888243831640058,0.9989956407508914,0.8071863583900738,0.8071770713064834,1000,additive,preston,defined,0.000732421875,0.188232421875,0.2206787109375
5.0,1,100.0,3311,0.0262760495318634,0.2180610087586831,0.4935064935064935,0.2621564482029598,0.9992649525036408,0.8160280108863708,0.8161106618267884,1000,additive,preston,defined,0.000732421875,0.191748046875,0.2206787109375
6.0,1,100.0,2355,0.0309978768577494,0.2484076433121019,0.3711252653927813,0.3494692144373673,0.074481808121316,0.4709816273733445,0.4295179016794427,1000,additive,preston,defined,0.746826171875,0.188232421875,0.2206787109375
7.0,1,100.0,2309,0.0918146383715894,0.2234733650931139,0.3533997401472499,0.3313122563880468,0.0715715129420173,0.4678273382767544,0.4301174479767713,1000,additive,preston,defined,0.746826171875,0.191748046875,0.2202392578125
8.0,1,100.0,2630,0.055893536121673,0.2448669201520912,0.3577946768060836,0.3414448669201521,0.0676947566836686,0.4727349280539584,0.4249961067734213,1000,additive,preston,defined,0.746826171875,0.191748046875,0.2206787109375
9.0,1,100.0,2372,0.1361720067453625,0.2575885328836425,0.3646711635750421,0.2415682967959528,0.3538513075153475,0.4984389201492062,0.4845265473661421,1000,additive,preston,defined,0.500732421875,0.488232421875,0.0702392578125
10.0,1,100.0,2788,0.1588952654232424,0.2923242467718794,0.3540172166427546,0.1947632711621233,0.6717995632149604,0.5759942807740174,0.5713612196177382,1000,additive,preston,defined,0.246826171875,0.488232421875,0.0702392578125
11.0,1,100.0,2970,0.1737373737373737,0.2848484848484848,0.3218855218855219,0.2195286195286195,0.3533837968454063,0.4985761762223122,0.4867827168536752,1000,additive,preston,defined,0.500732421875,0.4917480468749999,0.0702392578125
12.0,1,100.0,2236,0.2021466905187835,0.315742397137746,0.29695885509839,0.1851520572450805,0.3534788083473182,0.4996153738056781,0.4895646169848344,1000,additive,preston,defined,0.500732421875,0.488232421875,0.0706787109375
13.0,1,100.0,2706,0.2084257206208425,0.3070953436807095,0.3000739098300073,0.1844050258684405,0.3553092605314414,0.4976998145082391,0.4885766639723785,1000,additive,preston,defined,0.500732421875,0.4917480468749999,0.0706787109375
14.0,1,100.0,3090,0.145631067961165,0.2941747572815534,0.3427184466019417,0.2174757281553398,0.6833450637641774,0.5846044283990701,0.5795420905063148,1000,additive,preston,defined,0.246826171875,0.488232421875,0.0706787109375
15.0,1,100.0,3184,0.1472989949748743,0.292713567839196,0.3470477386934673,0.2129396984924623,0.681090573845374,0.5800546654200084,0.5800563715708474,1000,additive,preston,defined,0.246826171875,0.4917480468749999,0.0702392578125
16.0,1,100.0,2679,0.1690929451287794,0.3090705487122061,0.337812616648003,0.1840238895110115,0.6790201130261592,0.582057438835678,0.5780709000066963,1000,additive,preston,defined,0.246826171875,0.4917480468749999,0.0706787109375
17.0,1,100.0,2806,0.0028510334996436,0.2726300784034212,0.2744119743406985,0.4501069137562366,0.0905790506742296,0.5038538319019377,0.4766110919027406,1000,additive,preston,defined,0.750732421875,0.038232421875,0.2952392578125
18.0,1,100.0,2789,0.0,0.3062029401219075,0.3316600932233775,0.3621369666547149,-0.3561044045216391,0.2564267234530314,0.2388469547522502,1000,additive,preston,defined,0.996826171875,0.038232421875,0.2952392578125
19.0,1,100.0,3444,0.1173054587688734,0.1971544715447154,0.3522067363530778,0.3333333333333333,0.0573019689100133,0.4264508473234509,0.3820284468687748,1000,additive,preston,defined,0.750732421875,0.341748046875,0.2952392578125
20.0,1,100.0,2894,0.043192812715964,0.2771250863856254,0.3282653766413269,0.3514167242570836,0.0878842041978643,0.5119831455174128,0.4836970981622898,1000,additive,preston,defined,0.750732421875,0.038232421875,0.1456787109374999
21.0,1,100.0,2970,0.1427609427609427,0.2097643097643097,0.3518518518518518,0.2956228956228956,0.0534842148125302,0.435914167083556,0.3965041804091361,1000,additive,preston,defined,0.750732421875,0.341748046875,0.1456787109374999
22.0,1,100.0,2563,0.0,0.3187670698400312,0.3316426063207179,0.3495903238392508,-0.3022183940783565,0.2806976788576972,0.2614885174329405,1000,additive,preston,defined,0.996826171875,0.038232421875,0.1456787109374999
23.0,1,100.0,2252,0.0008880994671403197,0.3117229129662522,0.3374777975133214,0.3499111900532859,-0.3376420320709308,0.2635792457096583,0.2382021880922079,1000,additive,preston,defined,0.996826171875,0.341748046875,0.2952392578125
24.0,1,100.0,2495,0.0144288577154308,0.3062124248496994,0.3358717434869739,0.3434869739478958,-0.2498080095495281,0.3044771628121114,0.2610659561566875,1000,additive,preston,defined,0.996826171875,0.341748046875,0.1456787109374999
25.0,1,100.0,2476,0.1316639741518578,0.2992730210016155,0.3384491114701131,0.2306138933764135,0.6689562554229431,0.6440683868598607,0.6418380320065907,1000,additive,preston,defined,0.250732421875,0.3382324218749999,0.1452392578125
26.0,1,100.0,2735,0.1539305301645338,0.2595978062157221,0.3528336380255941,0.2336380255941499,0.3512416792113999,0.5389152807674802,0.5224335051366565,1000,additive,preston,defined,0.496826171875,0.3382324218749999,0.1452392578125
27.0,1,100.0,3505,0.0045649072753209,0.1089871611982881,0.4881597717546362,0.3982881597717546,0.6788469241238412,0.806578068122113,0.802973705055199,1000,additive,preston,defined,0.250732421875,0.041748046875,0.1452392578125
28.0,1,100.0,3506,0.0462065031374786,0.1879634911580148,0.4403879064460924,0.3254420992584141,0.6536049108803531,0.6146111820594962,0.6073655091041344,1000,additive,preston,defined,0.250732421875,0.3382324218749999,0.2956787109375
29.0,1,100.0,1920,0.0213541666666666,0.0619791666666666,0.2328125,0.6838541666666667,0.687805461174563,0.8006952387950412,0.7947802757571524,1000,additive,preston,defined,0.250732421875,0.041748046875,0.2956787109375
30.0,1,100.0,3962,0.118879353861686,0.2334679454820797,0.3662291771832408,0.2814235234729934,0.3415859127881251,0.5261775373286464,0.5075493873529674,1000,additive,preston,defined,0.496826171875,0.3382324218749999,0.2956787109375
31.0,1,100.0,3053,0.0101539469374385,0.1418277104487389,0.2970848345889289,0.5509335080248935,0.410703616055732,0.6767584704063878,0.6627460282877827,1000,additive,preston,defined,0.496826171875,0.041748046875,0.1452392578125
32.0,1,100.0,3358,0.0244192972007147,0.0836807623585467,0.2864800476474092,0.6054198927933294,0.4261119226598979,0.6729571053115005,0.659593304024311,1000,additive,preston,defined,0.496826171875,0.041748046875,0.2956787109375
33.0,1,100.0,2901,0.0803171320234402,0.2450879007238883,0.4312306101344364,0.2433643571182351,0.5104022303821627,0.6977500466489754,0.6952290516228483,1000,additive,preston,defined,0.375732421875,0.1132324218749999,0.0327392578125
