iteration;replicate;init_pop;fertility_type;heritability_type;random_mating;leakage;fertility_factor
1;1;1000;additive;preston;0.06583438535215252;0.03291719267607626;0.019750315605645757
10;1;1000;additive;preston;0.30683438535215246;0.037417192676076294;0.10345031560564572
100;1;1000;additive;preston;0.7168343853521515;0.08241719267607633;0.2595496843943543
1000;1;1000;additive;preston;0.8168343853521525;0.4675828073239238;0.28954968439435474
1001;1;1000;additive;preston;0.9341656146478627;0.4670828073239236;0.28024968439435555
1002;1;1000;additive;preston;0.6851656146478413;0.46658280732392365;0.2709496843943549
1003;1;1000;additive;preston;0.4361656146478562;0.46608280732392365;0.26164968439435565
1004;1;1000;additive;preston;0.18716561464783493;0.4655828073239237;0.2523496843943537
1005;1;1000;additive;preston;0.06183438535215002;0.46508280732392376;0.24304968439435445
1006;1;1000;additive;preston;0.31083438535217134;0.46458280732392376;0.23374968439435387
1007;1;1000;additive;preston;0.5598343853521565;0.4640828073239238;0.22444968439435461
1008;1;1000;additive;preston;0.8088343853521778;0.46358280732392354;0.215149684394354
1009;1;1000;additive;preston;0.9421656146478372;0.46308280732392393;0.20584968439435472
101;1;1000;additive;preston;0.9658343853521503;0.08291719267607628;0.2502496843943543
1010;1;1000;additive;preston;0.6931656146478522;0.46258280732392365;0.19654968439435547
1011;1;1000;additive;preston;0.44416561464783094;0.4620828073239236;0.18724968439435488
1012;1;1000;additive;preston;0.19516561464784588;0.46158280732392365;0.17794968439435563
1013;1;1000;additive;preston;0.053834385352175385;0.46108280732392365;0.16864968439435365
1014;1;1000;additive;preston;0.30283438535216045;0.46058280732392376;0.1593496843943544
1015;1;1000;additive;preston;0.5518343853521818;0.4600828073239238;0.15004968439435382
1016;1;1000;additive;preston;0.8008343853521669;0.45958280732392376;0.14074968439435454
1017;1;1000;additive;preston;0.9501656146478481;0.4590828073239238;0.13144968439435528
1018;1;1000;additive;preston;0.7011656146478269;0.45858280732392387;0.12214968439435468
1019;1;1000;additive;preston;0.45216561464784183;0.4580828073239236;0.11284968439435542
102;1;1000;additive;preston;0.7851656146478467;0.0834171926760762;0.24094968439435407
1020;1;1000;additive;preston;0.2031656146478205;0.45758280732392365;0.10354968439435482
1021;1;1000;additive;preston;0.04583438535216444;0.4570828073239237;0.09424968439435556
1022;1;1000;additive;preston;0.29483438535218576;0.4565828073239237;0.0849496843943536
1023;1;1000;additive;preston;0.5438343853521709;0.45608280732392376;0.07564968439435436
1024;1;1000;additive;preston;0.7928343853521921;0.45558280732392376;0.06634968439435375
1025;1;1000;additive;preston;0.958165614647823;0.4550828073239238;0.05704968439435449
1026;1;1000;additive;preston;0.7091656146478378;0.45458280732392387;0.04774968439435524
1027;1;1000;additive;preston;0.4601656146478165;0.4540828073239239;0.03844968439435462
1028;1;1000;additive;preston;0.21116561464783146;0.45358280732392364;0.0291496843943554
1029;1;1000;additive;preston;0.03783438535218997;0.4530828073239237;0.01984968439435476
103;1;1000;additive;preston;0.5361656146478526;0.0839171926760762;0.23164968439435418
1030;1;1000;additive;preston;0.28683438535217487;0.4525828073239237;0.010549684394355519
1031;1;1000;additive;preston;0.53583438535216;0.4520828073239237;0.0012496843943532454
1032;1;1000;additive;preston;0.7848343853521451;0.45158280732392375;0.00805031560564573
1033;1;1000;additive;preston;0.9661656146478337;0.45108280732392375;0.017350315605646306
1034;1;1000;additive;preston;0.7171656146478487;0.4505828073239238;0.026650315605645562
1035;1;1000;additive;preston;0.4681656146478636;0.4500828073239238;0.035950315605644774
1036;1;1000;additive;preston;0.21916561464784234;0.44958280732392386;0.045250315605645394
1037;1;1000;additive;preston;0.02983438535214261;0.44908280732392364;0.054550315605644654
1038;1;1000;additive;preston;0.278834385352164;0.44858280732392364;0.06385031560564526
1039;1;1000;additive;preston;0.5278343853521491;0.4480828073239237;0.0731503156056445
104;1;1000;additive;preston;0.2871656146478494;0.08441719267607631;0.22234968439435424
1040;1;1000;additive;preston;0.7768343853521703;0.44758280732392375;0.08245031560564647
1041;1;1000;additive;preston;0.9741656146478446;0.4470828073239237;0.09175031560564574
1042;1;1000;additive;preston;0.7251656146478596;0.44658280732392375;0.10105031560564498
1043;1;1000;additive;preston;0.4761656146478383;0.4460828073239238;0.11035031560564558
1044;1;1000;additive;preston;0.22716561464785318;0.44558280732392386;0.11965031560564485
1045;1;1000;additive;preston;0.021834385352167807;0.4450828073239239;0.12895031560564546
1046;1;1000;additive;preston;0.2708343853521531;0.44458280732392363;0.1382503156056447
1047;1;1000;additive;preston;0.5198343853521744;0.4440828073239237;0.14755031560564533
1048;1;1000;additive;preston;0.7688343853521594;0.4435828073239237;0.15685031560564455
1049;1;1000;additive;preston;0.9821656146478192;0.4430828073239237;0.16615031560564653
105;1;1000;additive;preston;0.03816561464785073;0.08491719267607628;0.2130496843943543
1050;1;1000;additive;preston;0.7331656146478343;0.44258280732392374;0.17545031560564578
1051;1;1000;additive;preston;0.4841656146478492;0.44208280732392374;0.18475031560564506
1052;1;1000;additive;preston;0.23516561464782793;0.4415828073239238;0.19405031560564565
1053;1;1000;additive;preston;0.013834385352157086;0.44108280732392385;0.2033503156056449
1054;1;1000;additive;preston;0.2628343853521784;0.44058280732392385;0.2126503156056455
1055;1;1000;additive;preston;0.5118343853521634;0.4400828073239236;0.22195031560564474
1056;1;1000;additive;preston;0.7608343853521848;0.43958280732392363;0.23125031560564535
1057;1;1000;additive;preston;0.9901656146478306;0.4390828073239237;0.24055031560564463
1058;1;1000;additive;preston;0.741165614647809;0.43858280732392374;0.2498503156056466
1059;1;1000;additive;preston;0.4921656146478239;0.43808280732392374;0.25915031560564583
106;1;1000;additive;preston;0.21083438535215238;0.08541719267607625;0.2037496843943544
1060;1;1000;additive;preston;0.2431656146478388;0.43758280732392374;0.2684503156056451
1061;1;1000;additive;preston;0.005834385352182558;0.4370828073239238;0.27775031560564567
1062;1;1000;additive;preston;0.2548343853521675;0.4365828073239238;0.2870503156056449
1063;1;1000;additive;preston;0.5038343853521887;0.4360828073239238;0.2963503156056457
1064;1;1000;additive;preston;0.7528343853521738;0.4355828073239236;0.2943496843943552
1065;1;1000;additive;preston;0.9981656146478046;0.4350828073239236;0.2850496843943546
1066;1;1000;additive;preston;0.7491656146478198;0.4345828073239237;0.2757496843943553
1067;1;1000;additive;preston;0.5001656146478348;0.4340828073239237;0.26644968439435474
1068;1;1000;additive;preston;0.2511656146478497;0.43358280732392374;0.25714968439435415
1069;1;1000;additive;preston;0.002165614647862968;0.43308280732392374;0.24784968439435484
107;1;1000;additive;preston;0.45983438535215104;0.0859171926760762;0.19444968439435445
1070;1;1000;additive;preston;0.24683438535215657;0.43258280732392385;0.23854968439435426
1071;1;1000;additive;preston;0.4958343853521417;0.43208280732392385;0.229249684394355
1072;1;1000;additive;preston;0.744834385352163;0.43158280732392384;0.2199496843943544
1073;1;1000;additive;preston;0.9938343853521487;0.4310828073239236;0.21064968439435514
1074;1;1000;additive;preston;0.7571656146478307;0.4305828073239236;0.20134968439435452
1075;1;1000;additive;preston;0.5081656146478457;0.4300828073239237;0.19204968439435527
1076;1;1000;additive;preston;0.2591656146478606;0.42958280732392373;0.18274968439435466
1077;1;1000;additive;preston;0.010165614647839438;0.42908280732392373;0.17344968439435407
1078;1;1000;additive;preston;0.23883438535214574;0.42858280732392373;0.16414968439435482
1079;1;1000;additive;preston;0.487834385352167;0.4280828073239238;0.1548496843943542
108;1;1000;additive;preston;0.7088343853521497;0.08641719267607631;0.18514968439435417
1080;1;1000;additive;preston;0.7368343853521521;0.42758280732392384;0.14554968439435495
1081;1;1000;additive;preston;0.985834385352173;0.42708280732392384;0.13624968439435434
1082;1;1000;additive;preston;0.7651656146478416;0.4265828073239236;0.12694968439435508
1083;1;1000;additive;preston;0.5161656146478204;0.4260828073239237;0.11764968439435447
1084;1;1000;additive;preston;0.2671656146478353;0.4255828073239237;0.10834968439435523
1085;1;1000;additive;preston;0.018165614647850103;0.4250828073239237;0.09904968439435463
1086;1;1000;additive;preston;0.23083438535217105;0.4245828073239237;0.089749684394354
1087;1;1000;additive;preston;0.4798343853521561;0.4240828073239238;0.08044968439435476
1088;1;1000;additive;preston;0.7288343853521774;0.42358280732392384;0.07114968439435414
1089;1;1000;additive;preston;0.9778343853521625;0.42308280732392384;0.0618496843943549
109;1;1000;additive;preston;0.9578343853521529;0.08691719267607628;0.17584968439435422
1090;1;1000;additive;preston;0.7731656146478163;0.42258280732392384;0.052549684394354305
1091;1;1000;additive;preston;0.5241656146478313;0.4220828073239236;0.043249684394355045
1092;1;1000;additive;preston;0.27516561464781;0.4215828073239236;0.033949684394354425
1093;1;1000;additive;preston;0.02616561464782513;0.42108280732392367;0.024649684394355165
1094;1;1000;additive;preston;0.22283438535216016;0.4205828073239237;0.015349684394354557
1095;1;1000;additive;preston;0.4718343853521814;0.42008280732392367;0.006049684394353932
1096;1;1000;additive;preston;0.7208343853521665;0.4195828073239238;0.0032503156056452264
1097;1;1000;additive;preston;0.9698343853521878;0.4190828073239238;0.012550315605645901
1098;1;1000;additive;preston;0.7811656146478272;0.41858280732392383;0.021850315605645126
1099;1;1000;additive;preston;0.532165614647806;0.41808280732392383;0.03115031560564575
11;1;1000;additive;preston;0.5558343853521528;0.037917192676076183;0.11275031560564572
110;1;1000;additive;preston;0.7931656146478485;0.08741719267607626;0.16654968439435433
1100;1;1000;additive;preston;0.28316561464782086;0.4175828073239236;0.04045031560564499
1101;1;1000;additive;preston;0.03416561464783596;0.4170828073239239;0.04975031560564425
1102;1;1000;additive;preston;0.2148343853521854;0.41658280732392367;0.05905031560564486
1103;1;1000;additive;preston;0.46383438535217053;0.41608280732392366;0.06835031560564546
1104;1;1000;additive;preston;0.7128343853521556;0.4155828073239237;0.07765031560564609
1105;1;1000;additive;preston;0.9618343853521407;0.4150828073239238;0.08695031560564533
1106;1;1000;additive;preston;0.7891656146478381;0.4145828073239237;0.09625031560564594
1107;1;1000;additive;preston;0.5401656146478531;0.41408280732392383;0.10555031560564518
1108;1;1000;additive;preston;0.29116561464783175;0.41358280732392383;0.1148503156056458
1109;1;1000;additive;preston;0.04216561464784663;0.4130828073239236;0.12415031560564505
111;1;1000;additive;preston;0.5441656146478454;0.08791719267607623;0.15724968439435405
1110;1;1000;additive;preston;0.20683438535213838;0.41258280732392394;0.1334503156056443
1111;1;1000;additive;preston;0.45583438535215964;0.41208280732392366;0.1427503156056449
1112;1;1000;additive;preston;0.7048343853521447;0.4115828073239237;0.15205031560564553
1113;1;1000;additive;preston;0.953834385352166;0.4110828073239237;0.16135031560564614
1114;1;1000;additive;preston;0.797165614647849;0.41058280732392377;0.17065031560564536
1115;1;1000;additive;preston;0.5481656146478278;0.41008280732392377;0.17995031560564598
1116;1;1000;additive;preston;0.29916561464784264;0.4095828073239238;0.18925031560564526
1117;1;1000;additive;preston;0.05016561464782138;0.4090828073239238;0.19855031560564587
1118;1;1000;additive;preston;0.1988343853521637;0.4085828073239236;0.2078503156056451
1119;1;1000;additive;preston;0.4478343853521487;0.4080828073239239;0.21715031560564435
112;1;1000;additive;preston;0.29516561464785124;0.0884171926760762;0.1479496843943541
1120;1;1000;additive;preston;0.69683438535217;0.40758280732392366;0.22645031560564494
1121;1;1000;additive;preston;0.9458343853521551;0.40708280732392366;0.23575031560564555
1122;1;1000;additive;preston;0.8051656146478237;0.4065828073239237;0.2450503156056462
1123;1;1000;additive;preston;0.5561656146478386;0.40608280732392377;0.2543503156056454
1124;1;1000;additive;preston;0.30716561464781733;0.40558280732392377;0.263650315605646
1125;1;1000;additive;preston;0.058165614647832264;0.4050828073239238;0.2729503156056453
1126;1;1000;additive;preston;0.1908343853521528;0.4045828073239238;0.28225031560564456
1127;1;1000;additive;preston;0.439834385352174;0.40408280732392354;0.2915503156056451
1128;1;1000;additive;preston;0.6888343853521591;0.40358280732392393;0.299149684394356
1129;1;1000;additive;preston;0.9378343853521803;0.40308280732392365;0.289849684394355
113;1;1000;additive;preston;0.04616561464784813;0.08891719267607631;0.13864968439435418
1130;1;1000;additive;preston;0.8131656146478345;0.4025828073239237;0.2805496843943544
1131;1;1000;additive;preston;0.5641656146478133;0.4020828073239237;0.27124968439435376
1132;1;1000;additive;preston;0.3151656146478282;0.40158280732392376;0.2619496843943545
1133;1;1000;additive;preston;0.06616561464780696;0.40108280732392376;0.2526496843943539
1134;1;1000;additive;preston;0.18283438535217805;0.4005828073239238;0.24334968439435464
1135;1;1000;additive;preston;0.4318343853521631;0.4000828073239239;0.23404968439435542
1136;1;1000;additive;preston;0.6808343853521843;0.3995828073239236;0.2247496843943548
1137;1;1000;additive;preston;0.9298343853521693;0.39908280732392387;0.21544968439435555
1138;1;1000;additive;preston;0.8211656146478092;0.39858280732392365;0.2061496843943549
1139;1;1000;additive;preston;0.5721656146478242;0.39808280732392365;0.19684968439435432
114;1;1000;additive;preston;0.20283438535215054;0.08941719267607628;0.12934968439435426
1140;1;1000;additive;preston;0.3231656146478391;0.3975828073239237;0.1875496843943537
1141;1;1000;additive;preston;0.0741656146478541;0.39708280732392376;0.17824968439435446
1142;1;1000;additive;preston;0.17483438535216717;0.39658280732392376;0.16894968439435384
1143;1;1000;additive;preston;0.42383438535215223;0.39608280732392376;0.15964968439435462
1144;1;1000;additive;preston;0.6728343853521374;0.3955828073239238;0.15034968439435534
1145;1;1000;additive;preston;0.9218343853521587;0.39508280732392353;0.14104968439435475
1146;1;1000;additive;preston;0.8291656146478563;0.3945828073239239;0.1317496843943555
1147;1;1000;additive;preston;0.5801656146478351;0.39408280732392365;0.12244968439435489
1148;1;1000;additive;preston;0.33116561464785;0.3935828073239237;0.11314968439435427
1149;1;1000;additive;preston;0.08216561464782873;0.39308280732392376;0.10384968439435367
115;1;1000;additive;preston;0.4518343853521537;0.08991719267607626;0.12004968439435432
1150;1;1000;additive;preston;0.16683438535215633;0.3925828073239237;0.09454968439435439
1151;1;1000;additive;preston;0.41583438535214134;0.39208280732392375;0.08524968439435515
1152;1;1000;additive;preston;0.6648343853521627;0.3915828073239238;0.07594968439435454
1153;1;1000;additive;preston;0.9138343853521478;0.39108280732392386;0.06664968439435529
1154;1;1000;additive;preston;0.837165614647831;0.3905828073239236;0.05734968439435469
1155;1;1000;additive;preston;0.588165614647846;0.39008280732392386;0.04804968439435545
1156;1;1000;additive;preston;0.3391656146478247;0.3895828073239236;0.038749684394354826
1157;1;1000;additive;preston;0.09016561464783968;0.38908280732392364;0.02944968439435422
1158;1;1000;additive;preston;0.15883438535218158;0.3885828073239237;0.02014968439435361
1159;1;1000;additive;preston;0.40783438535216665;0.38808280732392375;0.010849684394354369
116;1;1000;additive;preston;0.7008343853521524;0.09041719267607626;0.11074968439435438
1160;1;1000;additive;preston;0.6568343853521518;0.38758280732392375;0.0015496843943550774
1161;1;1000;additive;preston;0.9058343853521731;0.3870828073239238;0.00775031560564548
