iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
17;177;1;8000;additive;logistic;0.0;0.05;0.1;0.25;0.25
17;178;1;8000;additive;logistic;0.0;0.05;0.1;0.25;0.25
17;179;1;8000;additive;logistic;0.0;0.05;0.1;0.25;0.25
1;18;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
17;180;1;8000;additive;logistic;0.0;0.05;0.1;0.25;0.25
18;181;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;182;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;183;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;184;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;185;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;186;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;187;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;188;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
18;189;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
1;19;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
18;190;1;8000;additive;logistic;0.0;0.25;0.1;0.25;0.25
19;191;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;192;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;193;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;194;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;195;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;196;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;197;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;198;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
19;199;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
0;2;1;8000;additive;logistic;0.0;0.0;0.1;0.1;0.25
1;20;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
19;200;1;8000;additive;logistic;0.0;0.5;0.1;0.25;0.25
20;201;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;202;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;203;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;204;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;205;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;206;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;207;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;208;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
20;209;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
2;21;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
20;210;1;8000;additive;logistic;0.05;0.0;0.1;0.25;0.25
21;211;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;212;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;213;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;214;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;215;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;216;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;217;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;218;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
21;219;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
2;22;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
21;220;1;8000;additive;logistic;0.05;0.05;0.1;0.25;0.25
22;221;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;222;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;223;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;224;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;225;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;226;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;227;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;228;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
22;229;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
2;23;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
22;230;1;8000;additive;logistic;0.05;0.25;0.1;0.25;0.25
23;231;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;232;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;233;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;234;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;235;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;236;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;237;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;238;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
23;239;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
2;24;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
23;240;1;8000;additive;logistic;0.05;0.5;0.1;0.25;0.25
24;241;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;242;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;243;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;244;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;245;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;246;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;247;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;248;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
24;249;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
2;25;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
24;250;1;8000;additive;logistic;0.1;0.0;0.1;0.25;0.25
25;251;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;252;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;253;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;254;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;255;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;256;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;257;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;258;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
25;259;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
2;26;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
25;260;1;8000;additive;logistic;0.1;0.05;0.1;0.25;0.25
26;261;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;262;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;263;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;264;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;265;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;266;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;267;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;268;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
26;269;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
2;27;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
26;270;1;8000;additive;logistic;0.1;0.25;0.1;0.25;0.25
27;271;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;272;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;273;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;274;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;275;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;276;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;277;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;278;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
27;279;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
2;28;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
27;280;1;8000;additive;logistic;0.1;0.5;0.1;0.25;0.25
28;281;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;282;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;283;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;284;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;285;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;286;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;287;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;288;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
28;289;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
2;29;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
28;290;1;8000;additive;logistic;0.2;0.0;0.1;0.25;0.25
29;291;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;292;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;293;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;294;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;295;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;296;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;297;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;298;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
29;299;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
0;3;1;8000;additive;logistic;0.0;0.0;0.1;0.1;0.25
2;30;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
29;300;1;8000;additive;logistic;0.2;0.05;0.1;0.25;0.25
30;301;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;302;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;303;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;304;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;305;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;306;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;307;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;308;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
30;309;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
3;31;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
30;310;1;8000;additive;logistic;0.2;0.25;0.1;0.25;0.25
31;311;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;312;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;313;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;314;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;315;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;316;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;317;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;318;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
31;319;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
3;32;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
31;320;1;8000;additive;logistic;0.2;0.5;0.1;0.25;0.25
32;321;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;322;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;323;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;324;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;325;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;326;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;327;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;328;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
32;329;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
3;33;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
32;330;1;8000;additive;logistic;0.0;0.0;0.1;0.5;0.25
33;331;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;332;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;333;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;334;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;335;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;336;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;337;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;338;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
33;339;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;34;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
33;340;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
34;341;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;342;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;343;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;344;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;345;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;346;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;347;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;348;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
34;349;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
3;35;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
