iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
0;1;1;1987.0;51.0;14695;[0.06886696155154814, 0.4943177951684246, 0.35896563456958147, 0.07784960871044573];0.7771663803048816;0.0064946679324201844;0.0;0.049979500853544336;24.38790105333106;3.958123972907956
0;10;1;1966.0;51.0;14385;[0.06882168925964546, 0.4910670837678137, 0.3607924921793535, 0.07931873479318735];0.7878872829797282;-0.0017643471606587594;0.0;0.05202882686978932;24.374095488301236;4.00717327980281
1;11;1;1973.0;51.0;14371;[0.06993250295734466, 0.47957692575325306, 0.359891448055111, 0.09059912323429128];0.781532857845506;-0.011296303149712118;0.0;0.25313880203630873;24.51627101800761;4.06753653140055
1;12;1;1943.0;51.0;14752;[0.06588937093275488, 0.4779013015184382, 0.37377982646420826, 0.0824295010845987];0.7753884345178526;0.01673288820819051;0.0;0.25785797969545243;24.525431981674735;3.9736381565031
1;13;1;2007.0;51.0;14424;[0.06988352745424292, 0.48544093178036607, 0.3600942872989462, 0.08458125346644481];0.7926076926581618;-0.0019433791539749238;0.0;0.25578077761034584;24.433011627713505;4.034832468400138
1;14;1;1999.0;51.0;14476;[0.06852721746338768, 0.4693285437966289, 0.37544901906604033, 0.08669521967394307];0.7750398610986893;-0.00510247572320623;0.0;0.2475614111648424;24.56016230927316;4.018778707291066
1;15;1;1985.0;51.0;14441;[0.06426147773699882, 0.48417699605290493, 0.368257045910948, 0.08330448029914826];0.7773541875328717;-0.001923440702629843;0.0;0.2593516367218752;24.506913836745415;3.9618087514411635
1;16;1;1954.0;51.0;14645;[0.06746329805394333, 0.48869921474906114, 0.3590303857972004, 0.08480710139979515];0.7834011300974623;0.00580959473294469;0.0;0.24515749118435548;24.45148106851816;4.032172959447055
1;17;1;2017.0;51.0;14463;[0.06810481919380489, 0.48945585286593374, 0.36043697711401507, 0.08200235082624628];0.7827057851897823;0.005437911243543307;0.0;0.25556918264848083;24.44275932222673;3.9864236228709045
1;18;1;1984.0;51.0;14904;[0.0714573268921095, 0.4862453032742888, 0.3617149758454106, 0.08058239398819109];0.783516356667994;0.013944322025749103;0.0;0.26152898787925183;24.41228715817886;4.007991004298892
