iteration;replicate;init_pop;fertility_type;heritability_type;random_mating;leakage;fertility_factor
1;1;1000;additive;preston;2.74658203125E-4;0.23529052734375;0.25074462890625
10;1;1000;additive;preston;0.090362548828125;0.48529052734375;0.10074462890625
100;1;1000;additive;preston;0.234649658203125;0.14154052734375;0.29410400390624997
1000;1;1000;additive;preston;0.740753173828125;0.03167724609375;0.18394775390624998
10000;1;1000;additive;preston;0.027740478515625;0.12811279296875;0.26466064453125
10001;1;1000;additive;preston;0.590240478515625;0.09197998046875;0.23712158203125
10002;1;1000;additive;preston;0.590240478515625;0.09197998046875;0.23712158203125
10003;1;1000;additive;preston;0.590240478515625;0.00311279296875;0.23712158203125
10004;1;1000;additive;preston;0.590240478515625;0.09197998046875;0.18966064453125
10005;1;1000;additive;preston;0.590240478515625;0.00311279296875;0.18966064453125
10006;1;1000;additive;preston;0.590240478515625;0.09197998046875;0.18966064453125
10007;1;1000;additive;preston;0.590240478515625;0.00311279296875;0.23712158203125
10008;1;1000;additive;preston;0.590240478515625;0.00311279296875;0.18966064453125
10009;1;1000;additive;preston;0.215240478515625;0.34197998046875;0.08712158203124999
1001;1;1000;additive;preston;0.568634033203125;0.28607177734375;0.03277587890625
10010;1;1000;additive;preston;0.215240478515625;0.34197998046875;0.08712158203124999
10011;1;1000;additive;preston;0.215240478515625;0.25311279296875;0.08712158203124999
10012;1;1000;additive;preston;0.215240478515625;0.34197998046875;0.03966064453125
10013;1;1000;additive;preston;0.215240478515625;0.25311279296875;0.03966064453125
10014;1;1000;additive;preston;0.215240478515625;0.34197998046875;0.03966064453125
10015;1;1000;additive;preston;0.215240478515625;0.25311279296875;0.08712158203124999
10016;1;1000;additive;preston;0.215240478515625;0.25311279296875;0.03966064453125
10017;1;1000;additive;preston;0.308990478515625;0.02947998046875;0.04962158203125
10018;1;1000;additive;preston;0.308990478515625;0.02947998046875;0.04962158203125
10019;1;1000;additive;preston;0.308990478515625;0.31561279296875;0.04962158203125
1002;1;1000;additive;preston;0.365753173828125;0.28607177734375;0.03277587890625
10020;1;1000;additive;preston;0.308990478515625;0.02947998046875;0.07716064453125
10021;1;1000;additive;preston;0.308990478515625;0.31561279296875;0.07716064453125
