iteration;replicate;time;population;g1;g2;g3;g4;mating;kid-father-cor;kid-mother-cor
1000;1;100.0;2013;0.03278688524590164;0.09587680079483359;0.4431197218082464;0.42821659215101837;0.811193337445218;0.8140743631488264;0.812669086556279
1000;2;100.0;2393;0.020476389469285417;0.08984538236523193;0.37484329293773505;0.5148349352277476;0.807802682121103;0.8160122337867963;0.8141468640807704
1001;1;100.0;2676;0.019805680119581465;0.11733931240657698;0.44880418535127053;0.414050822122571;0.8129075952424746;0.8207682977307487;0.8185007231193314
1001;2;100.0;2888;0.019736842105263157;0.11114958448753462;0.3829639889196676;0.48614958448753465;0.8054947336842408;0.8092955291536698;0.8069916617024333
1002;1;100.0;2631;0.02508551881413911;0.07487647282402128;0.39300646142151274;0.5070315469403269;0.8100710078461734;0.8099623415446422;0.8123924906788731
1002;2;100.0;3773;0.011131725417439703;0.04134640869334747;0.44155844155844154;0.5059634243307712;0.8060221064179014;0.8061672018852298;0.8033364995787652
1003;1;100.0;2658;0.019563581640331076;0.11474793077501881;0.4473288186606471;0.418359668924003;0.8120127786105409;0.8187590193042343;0.8169457836856645
1003;2;100.0;2546;0.031421838177533384;0.08326787117046347;0.42105263157894735;0.4642576590730558;0.809599057357341;0.806416155106731;0.8049126838681435
1004;1;100.0;4279;0.021734050011684974;0.10259406403365272;0.3601308716989951;0.5155410142556672;0.8105177147793388;0.8121548759738799;0.8077233909386269
1004;2;100.0;2808;0.013176638176638177;0.09829059829059829;0.41773504273504275;0.4707977207977208;0.8037015046988322;0.8084807495210952;0.8047205607873135
1005;1;100.0;4341;0.04123473853950703;0.10043768716885511;0.3639714351531905;0.49435613913844734;0.8100898749751712;0.8097523460924559;0.8049543283236238
1005;2;100.0;4259;0.027001643578304767;0.12890349847382016;0.4207560460201925;0.4233388119276826;0.808211337698399;0.8128992836087574;0.8116562460865927
1006;1;100.0;2882;0.020818875780707843;0.10062456627342123;0.46877168632893823;0.40978487161693267;0.8075581282183997;0.8105634244420276;0.8070605200494612
1006;2;100.0;2539;0.02678219771563608;0.14966522252855455;0.4722331626624655;0.35131941709334386;0.8089184264647268;0.8147892925744448;0.8107705818091039
1007;1;100.0;4406;0.027689514298683614;0.11665910122560146;0.36382206082614615;0.4918293236495688;0.8106715046008217;0.8178085548913203;0.8163057832289762
1007;2;100.0;2702;0.017024426350851222;0.13730569948186527;0.3715766099185788;0.4740932642487047;0.8105936455536089;0.8069875425093702;0.805326120061929
1008;1;100.0;2428;0.04695222405271829;0.11532125205930807;0.39209225700164746;0.4456342668863262;0.8097937171955432;0.8194793588439842;0.8152286633943574
1008;2;100.0;2975;0.014453781512605042;0.07260504201680672;0.35865546218487393;0.5542857142857143;0.8145146031973365;0.8191651846934785;0.8197021065526745
1009;1;100.0;2086;0.030201342281879196;0.11457334611697027;0.41323106423777567;0.4419942473633749;0.8074367376874451;0.8147343049807533;0.8109947970519563
