iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
1;1;1;8000;additive;logistic;0.048006682971781456;0.048006682971781456;0.1;0.09601336594356291;0.028804009783068872
10;10;1;8000;additive;logistic;0.043506682971781424;0.023993317028218608;0.1;0.14498663405643702;0.05489599021693108
100;100;1;8000;additive;logistic;0.0014933170282177555;0.2560066829717814;0.1;0.5549866340564367;0.29189599021693124
1000;1000;1;8000;additive;logistic;0.45149331702821854;0.05600668297178085;0.1;0.6549866340564149;0.2618959902169307
1001;1001;1;8000;additive;logistic;0.45199331702821854;0.048006682971781345;0.1;0.9039866340564;0.27119599021693
1002;1002;1;8000;additive;logistic;0.4524933170282186;0.04000668297178073;0.1;0.8470133659435788;0.28049599021693056
1003;1003;1;8000;additive;logistic;0.45299331702821866;0.03200668297178122;0.1;0.5980133659435938;0.28979599021692987
1004;1004;1;8000;additive;logistic;0.4534933170282186;0.024006682971780546;0.1;0.34901336594357246;0.29909599021693206
1005;1005;1;8000;additive;logistic;0.45399331702821855;0.016006682971781067;0.1;0.10001336594358734;0.29160400978306894
1006;1006;1;8000;additive;logistic;0.4544933170282185;0.008006682971780588;0.1;0.14898663405643392;0.2823040097830683
1007;1007;1;8000;additive;logistic;0.45499331702821844;6.682971956939454E-6;0.1;0.39798663405641893;0.27300400978306905
1008;1008;1;8000;additive;logistic;0.4554933170282186;0.00799331702821987;0.1;0.6469866340564402;0.26370400978306846
1009;1009;1;8000;additive;logistic;0.45599331702821855;0.015993317028219156;0.1;0.8959866340564253;0.2544040097830692
101;101;1;8000;additive;logistic;0.001993317028219199;0.24800668297178163;0.1;0.8039866340564352;0.2988040097830685
1010;1010;1;8000;additive;logistic;0.4564933170282185;0.02399331702821872;0.1;0.8550133659435897;0.24510400978306995
1011;1011;1;8000;additive;logistic;0.45699331702821866;0.031993317028219365;0.1;0.6060133659435685;0.23580400978306934
1012;1012;1;8000;additive;logistic;0.45749331702821866;0.03999331702821882;0.1;0.35701336594358335;0.22650400978307006
1013;1013;1;8000;additive;logistic;0.4579933170282186;0.04799331702821949;0.1;0.10801336594356209;0.2172040097830681
1014;1014;1;8000;additive;logistic;0.4584933170282186;0.05599331702821897;0.1;0.14098663405642298;0.20790400978306886
1015;1015;1;8000;additive;logistic;0.45899331702821855;0.06399331702821959;0.1;0.38998663405644424;0.19860400978306825
1016;1016;1;8000;additive;logistic;0.4594933170282185;0.07199331702821907;0.1;0.6389866340564293;0.18930400978306902
1017;1017;1;8000;additive;logistic;0.45999331702821844;0.0799933170282186;0.1;0.8879866340564144;0.18000400978306977
1018;1018;1;8000;additive;logistic;0.46049331702821855;0.08799331702821928;0.1;0.8630133659435644;0.17070400978306915
1019;1019;1;8000;additive;logistic;0.46099331702821855;0.09599331702821873;0.1;0.6140133659435794;0.16140400978306987
102;102;1;8000;additive;logistic;0.002493317028218034;0.24000668297178154;0.1;0.9470133659435616;0.28950400978306895
1020;1020;1;8000;additive;logistic;0.46149331702821866;0.10399331702821937;0.1;0.36501336594355804;0.1521040097830693
1021;1021;1;8000;additive;logistic;0.4619933170282186;0.11199331702821888;0.1;0.11601336594357298;0.14280400978307004
1022;1022;1;8000;additive;logistic;0.4624933170282186;0.11999331702821953;0.1;0.13298663405644823;0.13350400978306806
1023;1023;1;8000;additive;logistic;0.4629933170282186;0.127993317028219;0.1;0.38198663405643335;0.12420400978306882
1024;1024;1;8000;additive;logistic;0.4634933170282185;0.13599331702821965;0.1;0.6309866340564546;0.11490400978306821
1025;1025;1;8000;additive;logistic;0.46399331702821844;0.14399331702821916;0.1;0.8799866340564397;0.10560400978306896
1026;1026;1;8000;additive;logistic;0.4644933170282185;0.15199331702821867;0.1;0.8710133659435753;0.0963040097830697
1027;1027;1;8000;additive;logistic;0.4649933170282186;0.15999331702821926;0.1;0.622013365943554;0.08700400978306909
1028;1028;1;8000;additive;logistic;0.4654933170282186;0.1679933170282188;0.1;0.37301336594356893;0.07770400978306981
1029;1029;1;8000;additive;logistic;0.46599331702821867;0.1759933170282194;0.1;0.12401336594354767;0.06840400978306924
103;103;1;8000;additive;logistic;0.0029933170282180066;0.23200668297178148;0.1;0.6980133659435674;0.280204009783069
1030;1030;1;8000;additive;logistic;0.4664933170282186;0.18399331702821892;0.1;0.12498663405643734;0.05910400978306998
1031;1031;1;8000;additive;logistic;0.46699331702821856;0.19199331702821953;0.1;0.37398663405642246;0.04980400978306801
1032;1032;1;8000;additive;logistic;0.4674933170282185;0.19999331702821904;0.1;0.6229866340564075;0.04050400978306876
1033;1033;1;8000;additive;logistic;0.4679933170282185;0.2079933170282197;0.1;0.8719866340564288;0.031204009783068143
1034;1034;1;8000;additive;logistic;0.4684933170282185;0.2159933170282192;0.1;0.8790133659435861;0.021904009783068917
1035;1035;1;8000;additive;logistic;0.46899331702821845;0.2239933170282187;0.1;0.6300133659436011;0.012604009783069674
1036;1036;1;8000;additive;logistic;0.4694933170282186;0.23199331702821932;0.1;0.3810133659435798;0.003304009783069117
1037;1037;1;8000;additive;logistic;0.46999331702821856;0.23999331702821883;0.1;0.13201336594359475;0.005995990216930141
1038;1038;1;8000;additive;logistic;0.47049331702821867;0.24799331702821947;0.1;0.11698663405642645;0.015295990216930799
1039;1039;1;8000;additive;logistic;0.47099331702821867;0.255993317028219;0.1;0.3659866340564116;0.02459599021693004
104;104;1;8000;additive;logistic;0.0034933170282183956;0.22400668297178142;0.1;0.4490133659435643;0.2709040097830687
