iteration;replicate;init_pop;fertility_type;initial_genetic_variance;random_mating;fertility_factor
1;1;8000;additive;0.30635916124138896;0.6127183224827779;0.18381549674483336
10;1;8000;additive;0.31085916124138896;0.8537183224827779;0.2675154967448334
100;1;8000;additive;0.35585916124138894;0.73628167751722;0.09548450325516657
1000;1;8000;additive;0.194140838758611;0.6362816775172372;0.12548450325516622
1001;1;8000;additive;0.19364083875861102;0.38728167751725207;0.11618450325516695
1002;1;8000;additive;0.193140838758611;0.1382816775172308;0.10688450325516635
1003;1;8000;additive;0.19264083875861102;0.11071832248275426;0.09758450325516711
1004;1;8000;additive;0.192140838758611;0.35971832248277547;0.08828450325516514
1005;1;8000;additive;0.19164083875861102;0.6087183224827606;0.07898450325516589
1006;1;8000;additive;0.191140838758611;0.8577183224827818;0.06968450325516529
1007;1;8000;additive;0.19064083875861101;0.8932816775172332;0.060384503255166026
1008;1;8000;additive;0.19014083875861096;0.6442816775172119;0.05108450325516542
1009;1;8000;additive;0.18964083875861099;0.3952816775172268;0.04178450325516616
101;1;8000;additive;0.35635916124138894;0.4872816775172213;0.08618450325516663
1010;1;8000;additive;0.18914083875861104;0.1462816775172417;0.03248450325516692
1011;1;8000;additive;0.18864083875861098;0.10271832248277951;0.02318450325516631
1012;1;8000;additive;0.18814083875861104;0.3517183224827646;0.013884503255167034
1013;1;8000;additive;0.18764083875861098;0.6007183224827859;0.004584503255165145
1014;1;8000;additive;0.187140838758611;0.8497183224827709;0.004715496744834247
1015;1;8000;additive;0.18664083875861098;0.9012816775172079;0.014015496744834753
1016;1;8000;additive;0.18614083875861098;0.6522816775172228;0.023315496744833995
1017;1;8000;additive;0.18564083875861104;0.40328167751723765;0.03261549674483325
1018;1;8000;additive;0.18514083875861098;0.15428167751721644;0.04191549674483388
1019;1;8000;additive;0.18464083875861104;0.09471832248276862;0.051215496744833104
102;1;8000;additive;0.35685916124138894;0.23828167751721813;0.07688450325516653
1020;1;8000;additive;0.18414083875861098;0.3437183224827899;0.060515496744833724
1021;1;8000;additive;0.18364083875861104;0.592718322482775;0.06981549674483299
1022;1;8000;additive;0.18314083875861098;0.8417183224827962;0.07911549674483496
1023;1;8000;additive;0.182640838758611;0.9092816775172188;0.0884154967448342
1024;1;8000;additive;0.18214083875861098;0.6602816775171975;0.0977154967448348
1025;1;8000;additive;0.18164083875861098;0.4112816775172124;0.10701549674483407
1026;1;8000;additive;0.18114083875861103;0.16228167751722727;0.11631549674483331
1027;1;8000;additive;0.18064083875861098;0.08671832248279393;0.1256154967448339
1028;1;8000;additive;0.18014083875861103;0.335718322482779;0.13491549674483316
1029;1;8000;additive;0.17964083875861098;0.5847183224828002;0.14421549674483378
103;1;8000;additive;0.357359161241389;0.010718322482775877;0.06758450325516661
1030;1;8000;additive;0.17914083875861103;0.8337183224827853;0.15351549674483303
