iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;1;1947.0;51.0;14741;[0.002306492096872668, 0.05603419035343599, 0.2497116884878909, 0.6919476290618004];0.0;0.0;0.15957166304957396;0.23245270598822673;31.871833112586813;4.168107987636728
10;10;1;1989.0;51.0;14338;[0.002650299902357372, 0.021760357093039476, 0.10238526991212163, 0.8732040730924815];0.0;0.0;0.4066722117880451;0.22282709964236547;34.233637963739554;3.917747699900358
100;100;1;1978.0;51.0;14495;[0.049672300793377026, 0.4071058985857192, 0.4004829251466023, 0.14273887547430147];0.0;0.0;0.22809932178780157;0.05264856945357129;25.459322000719666;4.264621139051809
1000;1000;1;1959.0;51.0;14417;[0.012901435804952486, 0.20683914822778665, 0.43774710411319967, 0.34251231185406117];0.0;0.0;0.1792181778987092;0.13052799208563862;28.229764108770585;4.213421644666293
10000;10000;1;1983.0;52.0;14492;[0.012282638697212255, 0.22274358266629865, 0.44141595362958874, 0.32355782500690033];0.0;0.0;0.18317670197201485;0.0950671324939219;28.04233154674857;4.225304367889391
10001;10001;1;1977.0;51.0;14580;[0.06755829903978051, 0.4334019204389575, 0.3829903978052126, 0.11604938271604938];0.0;0.0;0.1481229888852756;0.11765459656651629;24.943977737713173;4.273538293877434
10002;10002;1;1957.0;51.0;14992;[0.05429562433297759, 0.4074172892209178, 0.3974119530416222, 0.14087513340448238];0.0;0.0;0.14626971596691019;0.11820839761077125;25.367400217156977;4.256951950172844
10003;10003;1;2005.0;51.0;14719;[0.08050818669746586, 0.43983966302058564, 0.363136082614308, 0.11651606766764047];0.0;0.0;0.16738785699233655;0.12089396019613396;24.72141443933972;4.38769971442798
10004;10004;1;2037.0;51.0;14658;[0.0529403738572793, 0.3178469095374539, 0.3692181743757675, 0.25999454222949925];0.0;0.0;0.13248355284769045;0.3705475346725543;26.62920344711476;4.962777760298014
10005;10005;1;2012.0;52.0;14430;[0.01282051282051282, 0.23153153153153153, 0.44767844767844767, 0.30796950796950795];0.0;0.0;0.14508044705187245;0.10809752443502467;27.868678378491236;4.193774730122663
10006;10006;1;1994.0;51.0;15094;[0.001855041738439115, 0.052669935073539155, 0.24678680270306083, 0.6986882204849609];0.0;0.0;0.17604545986932219;0.27883614369794624;31.884423354226527;4.050525524740525
10007;10007;1;1949.0;51.0;14999;[0.0026668444562970863, 0.057937195813054204, 0.26568437895859726, 0.6737115807720515];0.0;0.0;0.15672828557618584;0.2923853569039056;31.5848837840562;4.083073581247388
10008;10008;1;1992.0;51.0;14982;[0.008476838873314645, 0.18268588973434788, 0.4187024429315178, 0.39013482846081965];0.0;0.0;0.1621796817465499;0.10227069551220962;28.765651649124127;4.253827786443857
