iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
0;1;1982.0;51.0;14850;[0.05164983164983165, 0.4381144781144781, 0.3968350168350168, 0.1134006734006734];0.7876571644648853;0.02637550981536623;0.050484684575013414;0.0;25.09392021153672;4.053788080687324
0;1;2014.0;51.0;14474;[0.049882548017134175, 0.44776841232554926, 0.3947768412325549, 0.10757219842476164];0.793027388967487;0.048333355892150986;0.05060365253294967;0.0;25.052888165913235;4.016533881994516
0;1;1992.0;51.0;14697;[0.04898958971218616, 0.428386745594339, 0.4077022521603048, 0.11492141253317004];0.7800235820695982;0.02255821212048704;0.04796888696432076;0.0;25.212135649378933;4.052891585918564
1;1;1952.0;51.0;14456;[0.036524626452684006, 0.40204759269507473, 0.4290951853901494, 0.13233259546209186];0.7904210643792374;0.07368156683320773;0.10203737330971618;0.0;25.581287667646777;3.9844236765476815
1;1;1973.0;51.0;14427;[0.038816108685104316, 0.38760657101268453, 0.42995771816732514, 0.14361960213488598];0.7925466695426231;0.0865438366162518;0.10395459082379671;0.0;25.699095661063083;4.027180079414094
1;1;1950.0;51.0;14742;[0.038190204856871524, 0.4175824175824176, 0.4192104192104192, 0.1250169583502917];0.7920731300572076;0.06420272688576413;0.1030792059016507;0.0;25.473866126906813;3.9393414482674896
1;1;1965.0;51.0;14730;[0.03333333333333333, 0.3818737270875764, 0.43408010862186014, 0.15071283095723015];0.7929746980695271;0.08793835443550124;0.10745397723514923;0.0;25.86713024381332;4.012024767706776
1;1;1940.0;51.0;15032;[0.034592868547099524, 0.3932943054816392, 0.42775412453432676, 0.14435870143693455];0.788101961503972;0.06675444151843037;0.09930614132252634;0.0;25.723866485427166;4.022614014905431
1;1;2022.0;51.0;14428;[0.03617965067923482, 0.3893124480177433, 0.4248683116163016, 0.14963958968672025];0.7941245322300183;0.08446299446650937;0.11081983305934064;0.0;25.770440153285755;4.035194464444241
1;1;1965.0;51.0;14677;[0.03427130885058254, 0.4011719016147714, 0.4266539483545684, 0.13790284118007767];0.7857484921134926;0.09723415507175473;0.10716400177291793;0.0;25.625972455444753;3.964566303046787
