iteration;replicate;time;last_generation;population;bmi_category_prop;am;kid-father-cor;kid-mother-cor
1031;1;3645.0;100.0;5779;[0.16819518947914863, 0.3386399030974217, 0.31458729884062986, 0.17857760858279978];0.3981723012595247;0.5321942917890371;0.5369184232244507
1032;1;3715.0;100.0;5860;[0.19590443686006825, 0.29180887372013653, 0.3083617747440273, 0.20392491467576793];0.17182303573610805;0.4574629036717627;0.4622535336019314
1033;1;3659.0;100.0;5814;[0.1914344685242518, 0.2762297901616787, 0.29635362917096664, 0.23598211214310286];0.044117228275849046;0.40991737637529324;0.4237691695092429
1034;1;3569.0;100.0;5815;[0.18159931212381772, 0.3040412725709372, 0.2987102321582115, 0.21564918314703355];0.2225396603521476;0.4699176996620984;0.46155437424256357
1035;1;3562.0;100.0;5795;[0.17480586712683346, 0.2987057808455565, 0.33425366695427094, 0.19223468507333907];0.4863552973850113;0.5535277518531593;0.5344082681437113
1036;1;3547.0;100.0;5987;[0.14464673459161517, 0.3061633539335226, 0.3607816936696175, 0.1884082178052447];0.7459813017253027;0.6187981008893944;0.6148182371270491
1037;1;3573.0;100.0;5975;[0.13690376569037657, 0.3041004184100418, 0.35564853556485354, 0.20334728033472804];0.9332939543471201;0.6733489376079451;0.6742428975095645
1038;1;3516.0;100.0;5917;[0.1483860064221734, 0.3163765421666385, 0.33885414906202466, 0.19638330234916343];0.6551435486966526;0.5830191034834113;0.595100547012228
1039;1;3541.0;100.0;5777;[0.1533667993768392, 0.2939241821014367, 0.3425653453349489, 0.21014367318677515];0.40541426143158266;0.5144149390568427;0.5086601151717813
104;1;3354.0;100.0;5815;[0.013069647463456577, 0.08873602751504729, 0.3673258813413586, 0.5308684436801375];0.5896454303466565;0.7463468871347552;0.7240691226809873
1040;1;3493.0;100.0;5801;[0.146354076883296, 0.29046716083433893, 0.3370108601965178, 0.22616790208584728];0.17412274647083215;0.4475146159181347;0.47638795857771543
1041;1;3548.0;100.0;5848;[0.15526675786593708, 0.28402872777017785, 0.30984952120383036, 0.2508549931600547];0.030742448315287944;0.4108806867262573;0.4097537691190325
1042;1;3533.0;100.0;6020;[0.13538205980066445, 0.276578073089701, 0.34717607973421927, 0.24086378737541528];0.2011284946893983;0.4644165445888345;0.47328342028663595
1043;1;3506.0;100.0;5975;[0.13589958158995816, 0.2803347280334728, 0.35564853556485354, 0.2281171548117155];0.47461954604257495;0.5266132939496757;0.5229816171286891
1044;1;3470.0;100.0;5786;[0.11977186311787072, 0.28810922917386794, 0.3693397856895956, 0.22277912201866573];0.7140235734766979;0.6174403323756105;0.6189527800178863
1045;1;3553.0;100.0;5994;[0.10760760760760761, 0.27761094427761096, 0.38488488488488487, 0.22989656322989657];0.9384806641038772;0.6567487438648931;0.652879277265249
1046;1;3426.0;101.0;5775;[0.12034632034632034, 0.2683982683982684, 0.37142857142857144, 0.23982683982683983];0.6861136725784722;0.5809658124862792;0.575388342068109
1047;1;3474.0;101.0;5728;[0.12814245810055866, 0.2697276536312849, 0.36312849162011174, 0.2390013966480447];0.4433938601923083;0.5275006808468536;0.5077509485227039
1048;1;3499.0;100.0;5961;[0.14661969468210032, 0.2615332997819158, 0.35816138231840294, 0.23368562321758093];0.1971119266432613;0.4669665942283437;0.44935539813973335
1049;1;3449.0;100.0;5862;[0.15267826680313887, 0.2683384510406005, 0.3079153872398499, 0.27106789491641076];0.006794841991036353;0.39544747218263226;0.3479103839843719
105;1;3414.0;100.0;5813;[0.007397213142955445, 0.06554274901083777, 0.3836229141579219, 0.5434371236882849];0.9204121849252008;0.8378255391931704;0.8452492919186844
1050;1;3446.0;100.0;5923;[0.12274185379030897, 0.268613878102313, 0.3518487253081209, 0.25679554279925715];0.22810373104995244;0.473564425306648;0.4500800750997312
1051;1;3481.0;100.0;5847;[0.10997092526081752, 0.27039507439712673, 0.36976227125021377, 0.24987172909184197];0.4769368047971597;0.5311595196638688;0.529223414179331
1052;1;3466.0;100.0;6027;[0.09407665505226481, 0.24274099883855982, 0.4076655052264808, 0.25551684088269455];0.7134724445552589;0.5786125410635589;0.5838765991273566
1053;1;3448.0;100.0;5878;[0.10003402517863219, 0.2580809799251446, 0.3957128274923443, 0.24617216740387887];0.9194039238944489;0.6397653032562921;0.6426233928138472
1054;1;3476.0;100.0;6013;[0.09130217861300516, 0.25128887410610345, 0.4037917844669882, 0.25361716281390323];0.6978977447666883;0.5835166174584366;0.5796130207929799
1055;1;3475.0;101.0;5929;[0.10490807893405296, 0.24641592174059707, 0.3810086017878226, 0.2676673975375274];0.45085795109233057;0.529962147750302;0.5185438628109924
1056;1;3437.0;100.0;6016;[0.12549867021276595, 0.26279920212765956, 0.3507313829787234, 0.2609707446808511];0.19843312885056968;0.472468957752987;0.45514368711650727
1057;1;3418.0;100.0;5806;[0.12039269720978299, 0.2475025835342749, 0.34912159834653805, 0.2829831209094041];0.014493494809408475;0.4218023640752333;0.3872158645114188
1058;1;3398.0;100.0;5854;[0.09566108643662453, 0.24000683293474548, 0.36897847625555175, 0.2953536043730782];0.21599989249718876;0.4393281134573275;0.4534616989529491
1059;1;3346.0;100.0;6060;[0.09471947194719472, 0.24108910891089108, 0.40082508250825083, 0.2633663366336634];0.4684593030518785;0.5188900957004505;0.502860812020204
106;1;3571.0;100.0;5984;[0.005681818181818182, 0.08522727272727272, 0.4363302139037433, 0.4727606951871658];0.7776675403878796;0.810590176699599;0.8004971586544294
1060;1;3412.0;100.0;5783;[0.09406882241051358, 0.24070551616807886, 0.40653639979249523, 0.2586892616289123];0.6719879826412116;0.5633549335012246;0.5561842573355705
1061;1;3440.0;100.0;5909;[0.06718564900998476, 0.22508038585209003, 0.42832966661025557, 0.2794042985276697];0.9722839913501655;0.6197755611426059;0.6182744143294044
1062;1;3389.0;100.0;5931;[0.08733771707975047, 0.238745574102175, 0.40870005058168946, 0.26521665823638507];0.6509714078353677;0.5830361869078581;0.5760394816805359
1063;1;3326.0;100.0;6022;[0.09863832613749585, 0.24393889073397543, 0.39173032215210896, 0.2656924609764198];0.45865581016992046;0.5327930489368936;0.5151335110925972
1064;1;3430.0;101.0;5828;[0.09059711736444749, 0.26372683596431024, 0.3761153054221002, 0.2695607412491421];0.19839542662818696;0.47092678058731535;0.4402021589590361
1065;1;3373.0;100.0;5860;[0.09488054607508532, 0.25426621160409557, 0.35921501706484643, 0.2916382252559727];0.004855390209165005;0.3834048616228848;0.3813051163060741
1066;1;3467.0;100.0;5902;[0.11962046763808878, 0.25482887156895967, 0.3742799051169095, 0.251270755676042];0.20100855087240146;0.41480564744214793;0.4153368588179911
1067;1;3399.0;100.0;5944;[0.0984185733512786, 0.24108344549125169, 0.3918236877523553, 0.2686742934051144];0.4089085888272381;0.513762494421975;0.4940024077991023
1068;1;3374.0;100.0;5842;[0.0842177336528586, 0.24888736733995206, 0.4238274563505649, 0.24306744265662444];0.6531967693011483;0.5844783347083666;0.5718551175037111
1069;1;3415.0;100.0;5861;[0.07729056475004266, 0.23340726838423478, 0.4227947449240744, 0.26650742194164817];0.9759141197315325;0.6312280362890631;0.6260067564931022
107;1;3309.0;100.0;5790;[0.018825561312607944, 0.12003454231433507, 0.4070811744386874, 0.4540587219343696];0.48674000970852577;0.6641241989700707;0.6562613621126574
1070;1;3477.0;100.0;5934;[0.08628244017526121, 0.23845635321873948, 0.4155712841253792, 0.2596899224806202];0.714895678525309;0.5802221468513475;0.5510326324203182
1071;1;3404.0;100.0;5844;[0.08966461327857632, 0.2503422313483915, 0.3952772073921971, 0.26471594798083503];0.44651236925246995;0.5102243121799924;0.5305274170441192
1072;1;3489.0;100.0;5835;[0.1089974293059126, 0.26580976863753214, 0.35972579263067694, 0.2654670094258783];0.20167782448895005;0.4833396909534539;0.45858225550131476
1073;1;3413.0;100.0;5931;[0.12527398415107063, 0.25847243297926153, 0.3323216995447648, 0.28393188332490304];0.0033814969876941625;0.40863217630088816;0.3823223571280195
1074;1;3480.0;100.0;5987;[0.11307833639552363, 0.250041757140471, 0.36011357942208116, 0.27676632704192417];0.19662266366680903;0.4415694879707219;0.43806539628932345
1075;1;3477.0;100.0;5957;[0.09736444519053215, 0.2795031055900621, 0.3763639415813329, 0.24676850763807284];0.43684088654184305;0.5303415224530353;0.507217042072318
1076;1;3391.0;100.0;5817;[0.0950661853188929, 0.2525356713082345, 0.4002062919030428, 0.2521918514698298];0.6579698883858727;0.5814214390396779;0.5769783144594186
1077;1;3581.0;101.0;5857;[0.09749018268738262, 0.2590063172272494, 0.39883899607307494, 0.24466450401229298];0.9792513407915518;0.6584878721545158;0.6595482502356991
1078;1;3444.0;100.0;5780;[0.10916955017301037, 0.2673010380622837, 0.39065743944636677, 0.2328719723183391];0.7176059253417832;0.6003832460552845;0.613295290346445
1079;1;3564.0;100.0;5850;[0.09726495726495726, 0.2547008547008547, 0.394017094017094, 0.254017094017094];0.4953355255018354;0.5485249352011121;0.5449221454777871
108;1;3403.0;100.0;5888;[0.01545516304347826, 0.11684782608695653, 0.4274796195652174, 0.44021739130434784];0.2510103927559726;0.5549733511978533;0.5487888846424044
1080;1;3553.0;101.0;5939;[0.12443172251220744, 0.2776561710725711, 0.35965650782960096, 0.23825559858562048];0.24435559364681653;0.47691948075412494;0.45542191987248515
1081;1;3509.0;100.0;5811;[0.13267940113577698, 0.2718981242471175, 0.3324728962312855, 0.26294957838582];0.006750070909087253;0.3806207471813782;0.3925666780142231
1082;1;3418.0;100.0;5775;[0.14112554112554113, 0.26701298701298704, 0.34805194805194806, 0.2438095238095238];0.19949673091196046;0.48102753631008105;0.4575675106070576
1083;1;3555.0;100.0;5739;[0.11430562815821571, 0.2791427077888134, 0.3739327408956264, 0.23261892315734448];0.44465912087342285;0.5054792563586264;0.5479546764395337
1084;1;3531.0;100.0;5949;[0.12539922676080015, 0.28946041351487645, 0.36829719280551354, 0.2168431669188099];0.6722107767543585;0.6157642877765627;0.6108582740688316
1085;1;3513.0;100.0;5741;[0.12158160599198746, 0.27660686291586833, 0.38773732799163907, 0.21407420310050515];0.943498970592902;0.6830278278292331;0.6848166911954094
1086;1;3513.0;100.0;5919;[0.13042743706707213, 0.2904206791687785, 0.3478628146646393, 0.23128906909951005];0.7198735460773369;0.617987912949342;0.6269854615474421
1087;1;3499.0;100.0;5857;[0.13897899948779238, 0.2781287348471914, 0.363325934778897, 0.21956633088611918];0.4371008106929115;0.530104215273574;0.5451589782643972
1088;1;3492.0;100.0;5917;[0.13909075545039717, 0.28274463410512085, 0.3508534730437722, 0.22731113740070982];0.22510633943816327;0.46399535440285883;0.481186033981796
1089;1;3493.0;100.0;5781;[0.17073170731707318, 0.28645563051375195, 0.30825116761805915, 0.23456149455111572];0.019284760012191166;0.4061962813132501;0.39730533085726666
109;1;3450.0;100.0;5910;[0.01116751269035533, 0.12774957698815567, 0.4231810490693739, 0.43790186125211505];0.05433844065660621;0.4734823599219662;0.4990811394480422
1090;1;3508.0;100.0;5778;[0.1720318449290412, 0.2814122533748702, 0.3357563170647283, 0.21079958463136034];0.18578616141447035;0.4637692354710633;0.4717960224013559
1091;1;3565.0;100.0;5783;[0.15856821718831057, 0.29534843506830366, 0.33598478298461004, 0.21009856475877572];0.3875224577717782;0.5342746681944919;0.5300952323606992
1092;1;3592.0;100.0;5986;[0.15035081857667892, 0.3164049448713665, 0.3436351486802539, 0.18960908787170064];0.6842340664793731;0.6112442377218381;0.605817562693283
1093;1;3578.0;100.0;5945;[0.15290159798149705, 0.3056349873843566, 0.3535744322960471, 0.18788898233809925];0.9486008545589131;0.6797125077403883;0.6855513029267059
1094;1;3547.0;100.0;5956;[0.15648085963734049, 0.32404298186702485, 0.3329415715245131, 0.18653458697112155];0.7632228683250195;0.6440425149715533;0.6343978113711439
1095;1;3715.0;100.0;5718;[0.17925848198670863, 0.31409583770549143, 0.32336481287163343, 0.18328086743616648];0.4968847815638697;0.5520648669566378;0.5467022549247057
1096;1;3656.0;100.0;5901;[0.1742077613963735, 0.30604982206405695, 0.3253685815963396, 0.19437383494322996];0.23714208722906185;0.4902034871865107;0.4461320236865981
1097;1;3618.0;100.0;5768;[0.22243411927877949, 0.3042649098474341, 0.27583217753120665, 0.19746879334257975];0.023579541279214907;0.39759535192189177;0.3976603185290096
1098;1;3543.0;100.0;5797;[0.17785061238571676, 0.3232706572365016, 0.29549767120924614, 0.20338105916853544];0.18847148147981221;0.4691047138443738;0.4733320819057507
1099;1;3511.0;100.0;5825;[0.14832618025751074, 0.28703862660944207, 0.3536480686695279, 0.2109871244635193];0.4041795057834404;0.5065933734723531;0.523914707566058
11;1;3506.0;100.0;6070;[0.0042833607907743, 0.05799011532125206, 0.4135090609555189, 0.5242174629324547];0.423320908864689;0.6599080408415254;0.6654863649088518
110;1;3483.0;100.0;6009;[0.01547678482276585, 0.15693126976202362, 0.41720752205025796, 0.41038442336495257];0.1692859180465164;0.5468440047465487;0.5352210373752824
1100;1;3526.0;100.0;5763;[0.15252472670484124, 0.297414541037654, 0.34947076175602987, 0.20058997050147492];0.6344369598581737;0.595096764307651;0.5969365870393971
1101;1;3516.0;100.0;5963;[0.1448935099781989, 0.3169545530773101, 0.347979205098105, 0.19017273184638606];0.9567477369413446;0.6943509665351966;0.6868237171676795
1102;1;3578.0;100.0;5793;[0.15018125323666495, 0.3096841015018125, 0.354738477472812, 0.18539616778871051];0.6916753137395015;0.6350926358684879;0.6363269603394884
1103;1;3532.0;100.0;5963;[0.1448935099781989, 0.28374979037397285, 0.341774274693946, 0.22958242495388229];0.4898787740713514;0.579935735241739;0.5489358191471986
1104;1;3493.0;100.0;5813;[0.13590228797522794, 0.25907448821606743, 0.35850679511439876, 0.24651642869430587];0.25872734100356526;0.491666303429665;0.5046941217955777
1105;1;3538.0;100.0;5805;[0.16382428940568475, 0.27510766580534024, 0.3050818260120586, 0.25598621877691646];0.014347009180921896;0.40603619645212863;0.41187415054486837
1106;1;3594.0;100.0;5856;[0.15112704918032788, 0.2773224043715847, 0.3398224043715847, 0.23172814207650272];0.15572195397130933;0.4712934785832771;0.43240039034169586
1107;1;3496.0;100.0;5823;[0.13669929589558646, 0.28370255881847845, 0.3484458183067147, 0.23115232697922034];0.37075072389540586;0.5155899846090617;0.5294462111516411
1108;1;3403.0;100.0;5965;[0.12154233025984912, 0.27862531433361276, 0.37720033528918695, 0.22263202011735123];0.6338344035171408;0.6139382303415368;0.6100956438029186
1109;1;3622.0;100.0;5738;[0.1200766817706518, 0.2983617985360753, 0.37277797141861274, 0.20878354827466017];0.8737564669023447;0.6607361639828255;0.6731661810695514
111;1;3395.0;100.0;5925;[0.021772151898734177, 0.14244725738396624, 0.40945147679324895, 0.42632911392405065];0.33302813258699343;0.6248255511795255;0.6281360103747067
1110;1;3489.0;100.0;5787;[0.11145671332296526, 0.2833938137204078, 0.3727319854847071, 0.23241748747191981];0.7354644084267836;0.6092643072326541;0.6113645785735486
1111;1;3470.0;100.0;5871;[0.1258729347640947, 0.2650315108158746, 0.3684210526315789, 0.2406745017884517];0.4552322091214795;0.5152641591123364;0.5293093819641035
1112;1;3496.0;100.0;5783;[0.12225488500778142, 0.296040117586028, 0.3354660210963168, 0.24623897630987376];0.25726620503712877;0.45871990642483074;0.4845265829717313
1113;1;3416.0;100.0;5815;[0.13568357695614788, 0.2596732588134136, 0.32691315563198625, 0.27773000859845226];0.02893850506503568;0.4248750508042447;0.4072541909390568
1114;1;3572.0;100.0;5848;[0.09798221614227086, 0.23392612859097128, 0.37089603283173733, 0.2971956224350205];0.17188150468942273;0.407907682713401;0.4500353242271336
1115;1;3445.0;100.0;5820;[0.1077319587628866, 0.261340206185567, 0.3826460481099656, 0.24828178694158076];0.4126840856948821;0.5216706688230006;0.5443028390865575
1116;1;3480.0;101.0;5886;[0.09106354060482501, 0.24787631668365614, 0.40825688073394495, 0.2528032619775739];0.6395155336071644;0.5628027528397207;0.5683804378338363
1117;1;3423.0;100.0;5769;[0.10123071589530248, 0.2435430750563356, 0.41202981452591436, 0.24319639452244757];0.9048611502917192;0.6297027735868208;0.6411906156132271
1118;1;3385.0;100.0;6036;[0.10387673956262425, 0.2652418820410868, 0.38137839628893305, 0.24950298210735586];0.7551264013240352;0.6199183433283989;0.624487737341912
1119;1;3428.0;100.0;5815;[0.08478073946689596, 0.2534823731728289, 0.39088564058469477, 0.2708512467755804];0.4995550165189985;0.5472265506799444;0.5576322907519103
112;1;3500.0;101.0;5987;[0.017036913312176383, 0.11792216469016202, 0.38115917821947554, 0.48388174377818605];0.6197314648513196;0.7158814033418472;0.6964981314524934
1120;1;3474.0;100.0;5754;[0.11748348974626346, 0.25391032325338897, 0.36635384080639555, 0.26225234619395205];0.27547498090981626;0.49749541986760487;0.4832124322415782
1121;1;3439.0;101.0;6005;[0.1250624479600333, 0.24363030807660283, 0.34354704412989173, 0.2877601998334721];0.05183852932929965;0.41438491090151863;0.39944678691618934
1122;1;3403.0;100.0;5943;[0.09153626114756856, 0.24650849739188962, 0.38515901060070673, 0.2767962308598351];0.18659599098995772;0.44726716305938236;0.45572447594426035
1123;1;3400.0;100.0;5784;[0.08091286307053942, 0.23201936376210236, 0.40076071922544954, 0.2863070539419087];0.3560358307010747;0.4970280471808924;0.5051061077608565
1124;1;3374.0;100.0;5810;[0.08605851979345955, 0.24629948364888124, 0.4008605851979346, 0.2667814113597246];0.6399017696752435;0.573733720535963;0.555729372398585
1125;1;3444.0;100.0;5813;[0.0789609495957337, 0.22793738173060382, 0.42456562876311715, 0.2685360399105453];0.9279312260103549;0.6418639635958404;0.646407673212258
1126;1;3398.0;100.0;5775;[0.09333333333333334, 0.24848484848484848, 0.4057142857142857, 0.25246753246753245];0.7608363922282345;0.59748250503706;0.577971879485948
1127;1;3359.0;100.0;5881;[0.08995068865839143, 0.23720455704812107, 0.3912599897976535, 0.28158476449583403];0.4889878577479285;0.5045421502437273;0.5026658886316598
1128;1;3416.0;100.0;5871;[0.09640606370294669, 0.23539431102026911, 0.3851132686084142, 0.28308635666836995];0.2170096312343782;0.45710162279702055;0.470324504691286
1129;1;3392.0;100.0;5797;[0.08935656373986545, 0.2392616870795239, 0.3570812489218561, 0.3143005002587545];0.041023779718670245;0.3934326049600031;0.39092198783180004
113;1;3498.0;100.0;5900;[0.01288135593220339, 0.11050847457627119, 0.4147457627118644, 0.461864406779661];0.9335383732241549;0.8443065716442841;0.839489888740753
1130;1;3408.0;100.0;5975;[0.09456066945606695, 0.24719665271966526, 0.3769037656903766, 0.28133891213389123];0.1477347828822786;0.4343641967210323;0.4347622818694532
1131;1;3487.0;100.0;5845;[0.09734816082121471, 0.23267750213858, 0.37775876817792986, 0.29221556886227545];0.372745288761255;0.49083844526392906;0.5019802685921692
1132;1;3442.0;100.0;5858;[0.08757255035848413, 0.2476954592010925, 0.398429498122226, 0.26630249231819736];0.5124341956879881;0.5572427201006797;0.5578001186122631
1133;1;3422.0;100.0;5868;[0.08520790729379686, 0.23738922972051807, 0.42007498295841855, 0.25732788002726653];0.8757322613164179;0.6360794995102853;0.6480386652114594
1134;1;3363.0;100.0;6012;[0.10861610113107119, 0.25349301397205587, 0.3805721889554225, 0.25731869594145046];0.7190410521868416;0.5985802059270845;0.6155492750180416
1135;1;3394.0;100.0;5884;[0.10078178110129164, 0.24728076138681168, 0.3912304554724677, 0.260707002039429];0.5161801880301751;0.541570850375267;0.5496031163838507
1136;1;3507.0;100.0;5974;[0.09993304318714429, 0.2654837629728825, 0.3752929360562437, 0.2592902577837295];0.22882051227892056;0.461896011700728;0.45215858808486703
1137;1;3378.0;100.0;5797;[0.1045368293945144, 0.2530619285837502, 0.3651888908055891, 0.2772123512161463];0.06930404152758442;0.4154769623160587;0.4053187280108952
1138;1;3475.0;100.0;5945;[0.10849453322119428, 0.256013456686291, 0.3613120269133726, 0.27417998317914216];0.13423152506987873;0.43936594226828724;0.42925606368576885
1139;1;3423.0;100.0;6015;[0.09875311720698254, 0.24954280964256026, 0.3822111388196176, 0.2694929343308396];0.420481603319535;0.5171055652512055;0.5266263333427216
114;1;3452.0;100.0;5903;[0.024224970354057258, 0.12993393189903438, 0.4186007115026258, 0.42724038624428257];0.7194815132382493;0.7565695564170998;0.7775799176229277
1140;1;3466.0;100.0;5862;[0.10064824292050495, 0.2459911293074036, 0.4049812350733538, 0.24837939269873763];0.6099630544206969;0.6040038031167618;0.6240650785933992
1141;1;3373.0;100.0;5965;[0.10427493713327746, 0.2598491198658843, 0.3886001676445935, 0.24727577535624476];0.9087949303095766;0.6723745251850685;0.6769876693123563
1142;1;3471.0;100.0;5921;[0.10420537071440635, 0.2639756797838203, 0.3725722006417835, 0.2592467488599899];0.7772850407982089;0.6186596469813961;0.5997612726139293
1143;1;3448.0;100.0;5880;[0.0967687074829932, 0.25204081632653064, 0.39540816326530615, 0.25578231292517006];0.5278848787247874;0.5860853360531888;0.5688182232826743
1144;1;3584.0;100.0;5905;[0.12074513124470787, 0.241151566469094, 0.3642675698560542, 0.2738357324301439];0.22164678478602126;0.47816893553801626;0.4600551034783188
1145;1;3448.0;100.0;5813;[0.12816101840701874, 0.2439360055049028, 0.3700326853603991, 0.25787029072767936];0.06600812637819464;0.41100880588202726;0.3909025216319162
1146;1;3565.0;100.0;5882;[0.13974838490309419, 0.254675280516831, 0.33900034002040125, 0.26657599455967357];0.13440726821205226;0.4568851185459406;0.4331588833339753
1147;1;3503.0;101.0;5973;[0.1133433785367487, 0.25883140800267873, 0.36681734471789723, 0.2610078687426754];0.4009028496529604;0.5502377479149965;0.5129895583322088
