iteration;replicate;init_pop;fertility_type;genetic_variance;random_mating;fertility_factor
1;1;20000;additive;0.2;0.0;0.0
10;1;20000;additive;0.2;0.0;0.0
11;1;20000;additive;0.2;0.3;0.0
12;1;20000;additive;0.2;1.0;0.0
13;1;20000;additive;0.2;0.0;0.0
14;1;20000;additive;0.2;0.3;0.0
15;1;20000;additive;0.2;1.0;0.0
16;1;20000;additive;0.2;0.0;0.0
17;1;20000;additive;0.2;0.3;0.0
18;1;20000;additive;0.2;1.0;0.0
19;1;20000;additive;0.2;0.0;0.0
2;1;20000;additive;0.2;0.3;0.0
20;1;20000;additive;0.2;0.3;0.0
21;1;20000;additive;0.2;1.0;0.0
22;1;20000;additive;0.2;0.0;0.0
23;1;20000;additive;0.2;0.3;0.0
24;1;20000;additive;0.2;1.0;0.0
25;1;20000;additive;0.2;0.0;0.0
26;1;20000;additive;0.2;0.3;0.0
27;1;20000;additive;0.2;1.0;0.0
28;1;20000;additive;0.2;0.0;0.0
29;1;20000;additive;0.2;0.3;0.0
3;1;20000;additive;0.2;1.0;0.0
30;1;20000;additive;0.2;1.0;0.0
4;1;20000;additive;0.2;0.0;0.0
5;1;20000;additive;0.2;0.3;0.0
6;1;20000;additive;0.2;1.0;0.0
7;1;20000;additive;0.2;0.0;0.0
8;1;20000;additive;0.2;0.3;0.0
9;1;20000;additive;0.2;1.0;0.0
