random-mating,genetic-variance,vertical-trans-variance,fertility-differential
0.14888768865906526,0.029777537731813054,0.029777537731813054,0.04466630659771958
0.10011231134093473,0.029577537731813076,0.026577537731813018,0.035366306597719555
0.3491123113409348,0.029377537731813078,0.023377537731813048,0.026066306597719545
0.5981123113409346,0.029177537731813044,0.020177537731813022,0.016766306597719636
0.8471123113409349,0.028977537731813052,0.016977537731813052,0.007466306597719663
0.9038876886590654,0.028777537731813053,0.01377753773181304,0.0018336934022803951
0.654887688659065,0.028577537731813065,0.01057753773181306,0.011133693402280436
0.4058876886590652,0.02837753773181302,0.0073775377318130555,0.020433693402280427
0.15688768865906538,0.02817753773181303,0.004177537731813097,0.02973369340228042
0.09211231134093434,0.02797753773181305,0.0009775377318132163,0.03903369340228036
0.3411123113409352,0.027777537731813073,0.0022224622681868977,0.04833369340228039
0.590112311340935,0.027577537731813075,0.005422462268186912,0.05763369340228039
0.8391123113409348,0.02737753773181303,0.008622462268186937,0.06693369340228042
0.9118876886590654,0.027177537731813042,0.01182246226818695,0.07623369340228042
0.6628876886590651,0.02697753773181305,0.01502246226818691,0.08553369340228045
0.41388768865906533,0.026777537731813062,0.018222462268186947,0.09483369340228039
0.164887688659065,0.026577537731813018,0.021422462268186917,0.1041336934022804
0.08411231134093466,0.02637753773181303,0.024622462268186943,0.1134336934022804
0.33311231134093444,0.026177537731813052,0.02782246226818691,0.12273369340228041
0.5821123113409343,0.025977537731813074,0.031022462268186946,0.1320336934022804
0.8311123113409351,0.025777537731813085,0.03422246226818692,0.14133369340228036
0.9198876886590661,0.025577537731813028,0.03742246226818694,0.15063369340228047
0.6708876886590653,0.02537753773181304,0.04062246226818696,0.1599336934022804
0.42188768865906434,0.02517753773181305,0.04382246226818694,0.16923369340228042
0.17288768865906573,0.024977537731813063,0.047022462268186904,0.17853369340228042
0.0761123113409351,0.02477753773181304,0.05022246226818694,0.18783369340228037
0.32511231134093377,0.02457753773181305,0.05342246226818697,0.19713369340228046
0.5741123113409348,0.02437753773181306,0.056622462268186936,0.20643369340228038
0.8231123113409357,0.02417753773181307,0.059822462268186966,0.2157336934022805
0.9278876886590658,0.023977537731813072,0.06302246226818693,0.2250336934022804
0.6788876886590649,0.02377753773181304,0.06622246226818695,0.23433369340228044
0.42988768865906396,0.023577537731813036,0.06942246226818694,0.24363369340228042
0.1808876886590653,0.023377537731813048,0.07262246226818696,0.2529336934022804
0.06811231134093554,0.02317753773181308,0.07582246226818694,0.26223369340228037
0.3171123113409342,0.022977537731813092,0.07902246226818696,0.2715336934022804
0.5661123113409351,0.022777537731813038,0.08222246226818693,0.28083369340228037
0.8151123113409338,0.02257753773181306,0.08542246226818695,0.29013369340228046
0.9358876886590654,0.02237753773181307,0.08862246226818693,0.2994336934022797
0.6868876886590645,0.02217753773181308,0.09182246226818695,0.2912663065977195
0.4378876886590658,0.021977537731813025,0.09502246226818699,0.28196630659771965
0.1888876886590649,0.021777537731813047,0.09822246226818696,0.2726663065977195
0.060112311340936087,0.02157753773181307,0.10142246226818692,0.2633663065977196
0.30911231134093464,0.02137753773181308,0.10462246226818694,0.2540663065977196
0.5581123113409355,0.02117753773181308,0.10782246226818698,0.24476630659771953
0.8071123113409364,0.020977537731813035,0.11102246226818696,0.2354663065977196
0.9438876886590648,0.020777537731813046,0.11422246226818691,0.22616630659771952
0.694887688659064,0.02057753773181307,0.11742246226818694,0.21686630659771958
0.44588768865906536,0.02037753773181308,0.12062246226818699,0.20756630659771963
0.19688768865906442,0.020177537731813022,0.12382246226818694,0.19826630659771974
0.052112311340934137,0.019977537731813044,0.1270224622681869,0.18896630659771962
0.3011123113409351,0.019777537731813066,0.13022246226818696,0.1796663065977195
0.5501123113409337,0.019577537731813057,0.13342246226818696,0.1703663065977196
