iteration,random-mating,genes,vertical-trans
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
0,0.1,0.0,0.0
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
1,0.1,0.0,0.05
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
2,0.1,0.0,0.25
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
3,0.1,0.0,0.5
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
4,0.1,0.05,0.0
