ego,alter,prop
1,1,0.0411522633744856
1,2,0.699588477366255
1,3,0.168724279835391
1,4,0.0905349794238683
2,1,0.0680816980376452
2,2,0.458950740889067
2,3,0.374048858630356
2,4,0.0989187024429315
3,1,0.0197685631629701
3,2,0.450337512054002
3,3,0.282063645130183
3,4,0.247830279652845
4,1,0.0178571428571429
4,2,0.200487012987013
4,3,0.417207792207792
4,4,0.364448051948052
